brand_id,size_id,price,bar_id,published
34,4,1.6,,true
25,4,1.5,,true
12,4,2.4,,true
10,4,2.4,,true
13,1,1.1,,true
13,2,2.2,,true
11,1,1.3,,true
11,2,2.4,,true
12,4,2.4,,true
13,2,2.4,,true
13,1,1.3,,true
34,4,2.4,,true
40,4,2.4,,true
4,4,2.4,,true
14,4,2.4,,true
25,4,2.4,,true
11,1,1.1,,true
20,1,1.2,,true
20,2,1.5,,true
10,4,2.5,,true
40,4,2.5,,true
71,4,2.5,,true
25,4,2.5,,true
12,4,2.5,,true
18,1,1.4,,true
18,2,1.65,,true
38,4,2.5,,true
5,1,1,,true
5,2,2.2,,true
13,3,1.2,,true
10,4,3,,true
16,4,3,,true
7,4,3,,true
8,4,3,,true
32,4,3,,true
52,4,3,,true
26,4,3,,true
11,1,1.2,,true
11,2,1.5,,true
13,1,1.5,,true
19,1,0.5,,true
19,2,1,,true
11,3,1,,true
42,3,1,,true
11,1,1.2,,true
11,2,2.3,,true
13,1,1.2,,true
13,2,2.3,,true
34,4,1.6,,true
5,1,1.5,,true
